id_nasabah,usia,jumlah_tanggungan,lama_usaha_tahun,pendapatan_bulanan,saldo_tabungan,plafon_pinjaman,tenor_bulan,rasio_utang_pendapatan,skor_kredit,jumlah_keterlambatan,riwayat_pinjaman_lunas,frekuensi_transaksi_bulanan,nilai_transaksi_bulanan,segmen_usaha,wilayah,jenis_usaha,gagal_bayar
NSB0022,52,2,0.5,4977940.0,535957.0,8670746.0,20,0.564,556.0,3,4,17,1168206.0,Kecil,Indonesia Timur,Produksi,1
NSB0023,33,2,1.4,2388829.0,627825.0,6454016.0,11,0.664,585.0,3,6,12,1226998.0,Mikro,Jawa,Dagang,0
NSB0024,30,2,3.5,3084886.0,1180083.0,9107573.0,7,0.415,658.0,2,9,15,1113290.0,Kecil,Kalimantan,Dagang,0
NSB0025,28,6,6.6,5045191.0,1073138.0,11439367.0,19,0.461,552.0,4,2,27,2551708.0,Kecil,Sumatera,Dagang,0
NSB0026,30,1,3.2,5030223.0,1585169.0,5521753.0,12,0.431,644.0,2,7,12,2067509.0,Kecil,Jawa,Pertanian,0
NSB0027,20,4,0.5,1175835.0,238950.0,1952857.0,3,0.596,588.0,2,6,7,1091049.0,Mikro,Jawa,Dagang,1
NSB0028,26,5,2.5,2646082.0,765649.0,5559384.0,6,0.593,564.0,4,3,24,2214927.0,Mikro,Sumatera,Produksi,1
NSB0029,29,1,4.2,3590601.0,2071975.0,8062051.0,12,0.492,597.0,3,4,42,4840093.0,Kecil,Jawa,Dagang,0
NSB0030,41,6,3.4,4511502.0,1332448.0,4867114.0,19,0.47,547.0,2,2,6,1850652.0,Kecil,Sumatera,Jasa,0
NSB0031,23,4,0.5,2353541.0,395272.0,4488963.0,5,0.438,577.0,2,5,14,1263307.0,Mikro,Sumatera,Dagang,0
NSB0032,26,6,0.8,4327780.0,808874.0,8519663.0,7,0.454,592.0,3,6,12,1489542.0,Mikro,Jawa,Dagang,0
NSB0033,20,3,1.5,3480846.0,408881.0,3160118.0,3,0.593,561.0,5,3,20,1358954.0,Mikro,Sulawesi,Dagang,1
NSB0034,22,0,3.5,3731699.0,810232.0,3233189.0,5,0.496,615.0,4,5,7,1083095.0,Mikro,Jawa,Jasa,1
NSB0035,39,4,9.5,9046466.0,2498237.0,13737190.0,21,0.587,551.0,4,0,17,4253793.0,Menengah,Sumatera,Produksi,0
NSB0036,28,1,3.4,3275419.0,426246.0,3992544.0,16,0.551,545.0,3,2,20,1117172.0,Mikro,Jawa,Jasa,1
NSB0037,42,0,4.4,2683516.0,1074000.0,3514790.0,6,0.255,599.0,2,6,14,934173.0,Kecil,Jawa,Dagang,0
NSB0038,34,3,7.8,5753014.0,3678103.0,14429279.0,17,0.271,690.0,1,6,10,2805142.0,Menengah,Jawa,Produksi,0
NSB0039,38,3,4.3,3321277.0,524264.0,5693741.0,6,0.604,533.0,6,0,20,1546194.0,Mikro,Sulawesi,Pertanian,1
NSB0040,35,4,6.4,3450234.0,1222131.0,5963421.0,7,0.45,634.0,3,7,0,1338017.0,Kecil,Jawa,Jasa,0
NSB0041,35,3,6.0,5269911.0,738452.0,14494290.0,14,0.476,571.0,3,3,12,1391268.0,Kecil,Kalimantan,Dagang,0
NSB0042,20,1,4.0,3755186.0,733026.0,7830698.0,15,0.445,571.0,3,4,17,1527780.0,Kecil,Jawa,Dagang,1
NSB0043,20,1,1.7,1825361.0,589790.0,3145373.0,3,0.507,612.0,2,7,21,1068884.0,Mikro,Sumatera,Dagang,1
NSB0044,40,0,4.5,5928832.0,2700024.0,7790500.0,7,0.414,556.0,3,6,19,1459348.0,Kecil,Sumatera,Dagang,1
NSB0045,51,3,7.5,8692504.0,2909213.0,10505305.0,26,0.265,742.0,0,9,15,1589456.0,Menengah,Jawa,Dagang,0
NSB0046,28,6,0.9,2102417.0,355443.0,2670872.0,4,0.545,543.0,4,1,11,701489.0,Mikro,Sulawesi,Pertanian,1
NSB0047,44,4,4.6,7410433.0,1663914.0,12554631.0,20,0.256,617.0,3,7,29,3692183.0,Menengah,Jawa,Jasa,0
NSB0048,32,4,0.9,5494966.0,1148477.0,6539803.0,10,0.532,587.0,3,5,23,4106797.0,Kecil,Jawa,Dagang,0
NSB0049,28,4,1.5,3257913.0,944829.0,4611080.0,6,0.342,565.0,5,5,25,996403.0,Mikro,Jawa,Jasa,1
NSB0050,39,0,5.2,5313557.0,4384387.0,32634864.0,26,0.206,730.0,3,7,15,4097537.0,Menengah,Indonesia Timur,Dagang,0
NSB0051,45,4,5.8,4752206.0,4038453.0,13784075.0,14,0.424,651.0,3,5,29,3196367.0,Menengah,Indonesia Timur,Pertanian,1
NSB0052,30,2,1.4,2076460.0,764174.0,5081938.0,3,0.399,648.0,2,9,14,1629839.0,Mikro,Sumatera,Jasa,0
NSB0053,33,2,1.5,3228351.0,2214389.0,8849780.0,12,0.471,573.0,2,8,12,1605529.0,Kecil,Jawa,Produksi,0
NSB0054,35,2,6.4,5439402.0,1484666.0,11224453.0,20,0.48,568.0,3,5,12,1878575.0,Menengah,Kalimantan,Dagang,0
NSB0055,37,4,5.0,4941100.0,1353208.0,10247911.0,6,0.405,621.0,2,8,29,4390101.0,Kecil,Jawa,Jasa,0
NSB0056,40,0,5.7,4809402.0,993065.0,10176496.0,21,0.531,645.0,2,7,15,3333553.0,Menengah,Sulawesi,Produksi,0
NSB0057,28,4,6.5,2917854.0,1334790.0,12278933.0,15,0.32,680.0,2,10,20,2680695.0,Kecil,Jawa,Dagang,0
NSB0058,49,2,8.5,8950949.0,1408665.0,7634617.0,12,0.455,576.0,4,5,20,4288278.0,Menengah,Jawa,Dagang,1
NSB0059,43,1,5.2,6813904.0,2388411.0,13835523.0,20,0.274,689.0,3,7,22,7824685.0,Menengah,Jawa,Jasa,0
NSB0060,31,3,4.2,2164523.0,248416.0,3431781.0,8,0.555,547.0,5,2,19,2274455.0,Mikro,Sumatera,Produksi,0
NSB0061,45,1,5.2,4642816.0,2178778.0,7263972.0,16,0.395,656.0,0,8,17,3363636.0,Kecil,Jawa,Jasa,0
NSB0062,39,1,3.7,3605360.0,643080.0,6742079.0,12,0.578,525.0,4,8,34,5504053.0,Mikro,Jawa,Pertanian,0
NSB0063,34,2,5.8,3544857.0,754264.0,11983105.0,6,0.575,573.0,3,2,24,3165262.0,Kecil,Indonesia Timur,Jasa,1
NSB0064,32,2,0.5,2851557.0,558568.0,3293313.0,3,0.434,578.0,3,5,14,689477.0,Mikro,Kalimantan,Pertanian,0
NSB0065,24,1,1.8,2723653.0,995788.0,5454440.0,13,0.396,698.0,0,8,15,2014608.0,Mikro,Jawa,Dagang,0
NSB0066,29,2,2.2,2902184.0,936629.0,5921728.0,11,0.446,578.0,4,2,18,2258268.0,Kecil,Sulawesi,Jasa,1
NSB0067,23,0,4.8,6256250.0,953887.0,9136628.0,19,0.448,553.0,5,4,28,6549870.0,Menengah,Sumatera,Jasa,0
NSB0068,48,2,6.4,8105409.0,1340831.0,9027601.0,20,0.411,608.0,2,2,22,3159898.0,Menengah,Indonesia Timur,Dagang,1
NSB0069,20,7,0.5,1878435.0,520432.0,3822574.0,11,0.527,521.0,4,0,9,473784.0,Mikro,Jawa,Pertanian,1
NSB0070,35,1,0.6,3033014.0,888301.0,2908242.0,3,0.435,636.0,2,7,20,930877.0,Mikro,Jawa,Dagang,1
NSB0071,31,2,6.3,5218568.0,1256275.0,10392705.0,21,0.412,595.0,2,1,21,3798291.0,Menengah,Kalimantan,Jasa,0
NSB0072,20,3,0.5,3300285.0,276593.0,2703548.0,3,0.527,588.0,4,5,13,1325054.0,Mikro,Sumatera,Dagang,1
NSB0073,30,2,3.6,2715356.0,750240.0,4737831.0,13,0.516,656.0,2,8,19,2498587.0,Mikro,Jawa,Pertanian,0
NSB0074,35,2,0.8,5401913.0,957468.0,5117034.0,18,0.544,575.0,3,6,23,2700343.0,Kecil,Sumatera,Produksi,0
NSB0075,45,3,5.5,6938320.0,4198371.0,9004323.0,13,0.401,696.0,1,10,30,8662277.0,Menengah,Sumatera,Dagang,0
NSB0076,50,1,4.6,5275274.0,947588.0,18003927.0,18,0.475,572.0,7,4,11,1522221.0,Menengah,Jawa,Dagang,1
NSB0077,35,1,3.3,4127450.0,1449794.0,4130057.0,8,0.612,536.0,4,2,26,2232033.0,Kecil,Sulawesi,Dagang,0
NSB0078,38,2,2.3,4229687.0,953396.0,9655350.0,8,0.657,566.0,3,0,36,2595847.0,Kecil,Kalimantan,Dagang,1
NSB0079,29,0,4.9,4897160.0,1268629.0,7686313.0,11,0.349,695.0,0,9,23,3800454.0,Kecil,Kalimantan,Pertanian,0
NSB0080,47,1,7.3,8604115.0,3566586.0,13971896.0,16,0.538,619.0,2,5,28,5465671.0,Menengah,Kalimantan,Pertanian,0
NSB0081,33,0,3.1,2834255.0,555160.0,4151019.0,4,0.403,624.0,2,3,19,1575620.0,Kecil,Jawa,Produksi,0
NSB0082,29,2,3.4,3044759.0,505921.0,8545436.0,13,0.455,584.0,2,6,22,1990370.0,Kecil,Kalimantan,Jasa,0
NSB0083,35,1,5.9,5315185.0,899868.0,14580417.0,18,0.384,582.0,1,6,11,1726610.0,Kecil,Jawa,Jasa,0
NSB0084,33,2,3.0,4372643.0,964741.0,5175298.0,8,0.175,645.0,3,7,16,2766546.0,Kecil,Jawa,Jasa,0
NSB0085,34,2,5.4,5182172.0,1387443.0,6026846.0,3,0.16,700.0,0,10,23,2087788.0,Kecil,Sumatera,Produksi,0
NSB0086,31,0,2.3,2685231.0,430809.0,5714135.0,17,0.57,526.0,3,4,17,1411146.0,Mikro,Jawa,Dagang,1
NSB0087,30,2,4.2,5177627.0,910674.0,8000177.0,17,0.604,523.0,4,1,14,2292971.0,Kecil,Jawa,Dagang,1
NSB0088,27,3,3.1,4778232.0,327609.0,10619449.0,11,0.492,529.0,3,3,15,1264641.0,Kecil,Sumatera,Jasa,1
NSB0089,45,4,7.4,7031831.0,2131994.0,10984772.0,14,0.561,542.0,5,0,19,3524618.0,Menengah,Indonesia Timur,Dagang,1
NSB0090,25,2,7.1,3695033.0,1133557.0,11866521.0,13,0.409,677.0,2,8,21,3825569.0,Menengah,Jawa,Pertanian,1
NSB0091,30,1,5.5,2941164.0,1073523.0,4938883.0,13,0.318,723.0,1,11,21,1552833.0,Kecil,Sumatera,Dagang,0
NSB0092,48,6,6.1,3765235.0,1214941.0,19057247.0,11,0.572,597.0,4,4,16,1490000.0,Menengah,Jawa,Pertanian,0
NSB0093,20,4,4.7,5101047.0,475680.0,4930559.0,18,0.684,554.0,4,3,18,1979031.0,Kecil,Sumatera,Dagang,1
NSB0094,34,1,6.5,5186682.0,1154653.0,6348144.0,19,0.431,582.0,5,3,27,4794251.0,Menengah,Sumatera,Dagang,0
NSB0095,39,3,6.0,5419589.0,1058986.0,6987064.0,14,0.226,694.0,0,12,13,1402094.0,Kecil,Sumatera,Jasa,0
NSB0096,25,1,5.2,6010119.0,938630.0,9340422.0,10,0.747,446.0,6,0,19,2834575.0,Menengah,Jawa,Jasa,1
NSB0097,46,2,0.5,3429467.0,831783.0,6778218.0,3,0.425,641.0,2,9,26,1576138.0,Mikro,Kalimantan,Pertanian,0
NSB0098,20,0,6.9,5997057.0,1470653.0,7816083.0,10,0.473,561.0,3,4,2,1263616.0,Kecil,Sumatera,Jasa,1
NSB0099,36,3,0.5,1820671.0,393079.0,3116138.0,3,0.419,643.0,1,7,15,800820.0,Mikro,Sumatera,Pertanian,0
NSB0100,35,2,0.5,1519808.0,230580.0,3141991.0,3,0.581,516.0,4,5,8,636430.0,Mikro,Kalimantan,Pertanian,1
NSB0101,39,4,3.0,3556464.0,664781.0,10055625.0,9,0.536,582.0,2,5,29,4137731.0,Kecil,Sulawesi,Pertanian,0
NSB0102,28,4,0.6,2782465.0,649338.0,4551955.0,8,0.655,480.0,5,3,26,5121436.0,Mikro,Sumatera,Dagang,0
NSB0103,37,1,7.7,3764546.0,479169.0,10787189.0,14,0.585,583.0,5,4,33,3616621.0,Kecil,Sulawesi,Jasa,0
NSB0104,39,4,9.7,10875068.0,8949603.0,26109341.0,33,0.224,705.0,2,9,26,8781528.0,Menengah,Jawa,Dagang,0
NSB0105,36,4,0.5,4106389.0,738773.0,4391879.0,6,0.332,618.0,1,7,19,2444876.0,Mikro,Sumatera,Dagang,0
NSB0106,23,3,3.5,1970289.0,575553.0,5450918.0,3,0.476,577.0,3,6,10,1647097.0,Mikro,Jawa,Dagang,0
NSB0107,33,2,3.8,4671794.0,1295904.0,8131892.0,13,0.549,557.0,6,3,18,2941113.0,Kecil,Jawa,Dagang,0
NSB0108,43,4,8.2,3973341.0,1632207.0,7072321.0,22,0.537,531.0,4,1,24,6416316.0,Kecil,Sulawesi,Produksi,0
NSB0109,25,4,1.9,3864630.0,1156928.0,9586833.0,8,0.669,619.0,3,4,12,2296778.0,Kecil,Indonesia Timur,Dagang,0
NSB0110,30,3,0.5,4489695.0,1626036.0,4331172.0,11,0.416,619.0,3,3,21,1983250.0,Kecil,Sumatera,Dagang,1
NSB0111,39,1,5.7,5398900.0,1836344.0,14688599.0,14,0.351,633.0,3,5,27,3697047.0,Menengah,Jawa,Dagang,0
NSB0112,27,1,4.6,6120811.0,2569049.0,12563164.0,17,0.483,624.0,3,5,29,4418047.0,Kecil,Jawa,Dagang,0
NSB0113,37,3,1.1,1685185.0,895538.0,4219585.0,7,0.625,558.0,4,3,14,1298916.0,Mikro,Sulawesi,Produksi,1
NSB0114,36,0,0.5,5081493.0,1091872.0,5558151.0,7,0.428,567.0,3,8,12,2434565.0,Kecil,Sumatera,Jasa,0
NSB0115,24,2,4.8,3488899.0,2163754.0,6918544.0,11,0.406,626.0,4,3,16,3234132.0,Kecil,Jawa,Jasa,0
NSB0116,28,1,4.4,2902503.0,931023.0,4948475.0,10,0.386,645.0,1,9,22,1183692.0,Mikro,Sulawesi,Jasa,0
NSB0117,30,1,1.5,4697493.0,2086535.0,10353520.0,19,0.297,696.0,0,7,25,2258472.0,Kecil,Sumatera,Pertanian,0
NSB0118,25,3,4.0,1421935.0,504911.0,5163357.0,11,0.529,594.0,3,4,18,1835147.0,Mikro,Sumatera,Dagang,1
NSB0119,39,1,5.2,5118715.0,1568866.0,15929356.0,22,0.419,586.0,3,3,21,1770465.0,Menengah,Sulawesi,Jasa,0
NSB0120,30,2,8.2,4601361.0,1801350.0,6777661.0,11,0.446,633.0,2,2,2,1490289.0,Kecil,Kalimantan,Produksi,0
NSB0121,41,3,4.9,6129857.0,661679.0,8162215.0,11,0.529,614.0,2,1,25,3049176.0,Kecil,Jawa,Pertanian,1
NSB0122,26,2,2.4,3288211.0,971209.0,3382014.0,13,0.57,508.0,4,4,30,2206953.0,Mikro,Indonesia Timur,Produksi,0
NSB0123,40,2,5.5,4037150.0,1280141.0,8621616.0,5,0.215,611.0,4,6,13,2422579.0,Kecil,Sumatera,Pertanian,0
NSB0124,24,4,0.5,1141488.0,363525.0,2805465.0,3,0.551,570.0,5,3,19,1561529.0,Mikro,Jawa,Dagang,0
NSB0125,34,4,0.6,3431999.0,301447.0,3647761.0,3,0.368,651.0,3,6,27,1830665.0,Mikro,Sulawesi,Pertanian,0
NSB0126,32,4,5.9,7385633.0,1379845.0,12358846.0,12,0.395,656.0,2,10,9,1940147.0,Kecil,Jawa,Produksi,0
NSB0127,20,3,0.5,1543076.0,508181.0,3088433.0,3,0.516,592.0,3,6,3,1082287.0,Mikro,Kalimantan,Dagang,0
NSB0128,30,2,3.0,5531859.0,1361183.0,4772525.0,11,0.459,590.0,2,4,15,2576910.0,Menengah,Kalimantan,Produksi,0
NSB0129,29,4,3.4,1214076.0,412635.0,3075311.0,4,0.616,515.0,3,7,25,1178344.0,Mikro,Jawa,Pertanian,1
NSB0130,44,1,5.1,6999593.0,582675.0,6864420.0,13,0.459,599.0,5,5,10,1178549.0,Menengah,Indonesia Timur,Produksi,0
NSB0131,45,2,1.2,5363333.0,942300.0,6564911.0,5,0.485,613.0,2,5,23,3199684.0,Mikro,Sumatera,Produksi,0
NSB0132,47,2,6.3,6782283.0,1268975.0,22662406.0,15,0.554,586.0,4,7,19,2772008.0,Menengah,Jawa,Produksi,0
NSB0133,36,0,1.8,5808622.0,1919060.0,6648591.0,9,0.35,627.0,2,7,12,1831194.0,Kecil,Sumatera,Pertanian,0
NSB0134,25,4,0.5,2289734.0,246900.0,3450247.0,10,0.519,594.0,2,7,23,1702242.0,Mikro,Jawa,Produksi,1
NSB0135,43,2,5.9,5475877.0,2401196.0,12600717.0,17,0.59,525.0,3,3,19,3684926.0,Menengah,Indonesia Timur,Dagang,1
NSB0136,41,0,6.3,10669891.0,2449973.0,16619670.0,21,0.366,642.0,3,4,18,2096547.0,Menengah,Kalimantan,Dagang,0
NSB0137,44,1,4.0,2846908.0,1224786.0,8541629.0,5,0.401,584.0,4,4,13,1408019.0,Kecil,Jawa,Dagang,1
NSB0138,39,1,5.2,3348662.0,631445.0,9334241.0,8,0.515,634.0,4,5,30,3079168.0,Kecil,Kalimantan,Jasa,1
NSB0139,27,2,2.9,3983904.0,810835.0,4994461.0,9,0.427,596.0,4,3,24,3214996.0,Kecil,Kalimantan,Dagang,0
NSB0140,24,3,2.6,3210409.0,1138921.0,7159239.0,4,0.648,531.0,4,0,10,2029353.0,Mikro,Kalimantan,Jasa,1
NSB0141,49,3,7.4,7263414.0,1608067.0,9528894.0,16,0.43,632.0,2,8,26,3305589.0,Menengah,Jawa,Pertanian,0
NSB0142,33,0,1.1,3444906.0,693284.0,6026522.0,9,0.466,596.0,2,6,23,1816047.0,Mikro,Jawa,Pertanian,1
NSB0143,32,0,4.3,3225480.0,1014197.0,10038897.0,19,0.418,553.0,2,6,6,1177943.0,Kecil,Sulawesi,Dagang,0
NSB0144,38,4,0.7,2024177.0,474397.0,6060552.0,6,0.56,603.0,2,6,19,2693446.0,Mikro,Sulawesi,Produksi,1
NSB0145,28,2,4.3,3059118.0,1273299.0,4014370.0,7,0.515,576.0,3,5,11,1029741.0,Mikro,Jawa,Dagang,0
NSB0146,26,2,1.9,1881303.0,976713.0,3111328.0,3,0.579,598.0,3,1,8,1249379.0,Mikro,Jawa,Produksi,1
NSB0147,37,3,6.8,5069409.0,1716513.0,11873688.0,32,0.402,637.0,1,6,21,5536299.0,Menengah,Jawa,Dagang,0
NSB0148,20,3,1.5,2714651.0,495993.0,6633250.0,19,0.495,590.0,3,6,15,1963444.0,Kecil,Jawa,Dagang,0
NSB0149,45,2,6.3,5455488.0,3329674.0,16635454.0,20,0.34,598.0,3,8,22,4525342.0,Menengah,Indonesia Timur,Dagang,0
NSB0150,26,3,2.8,2527778.0,1483415.0,4970937.0,15,0.496,590.0,3,6,13,853144.0,Kecil,Sumatera,Dagang,0
NSB0151,27,1,3.6,2085775.0,1195243.0,5913856.0,4,0.435,609.0,1,7,22,1158747.0,Mikro,Kalimantan,Jasa,0
NSB0152,27,2,3.1,2290332.0,1642240.0,7419699.0,9,0.357,616.0,4,8,24,1554960.0,Kecil,Sumatera,Dagang,0
NSB0153,36,3,1.5,3247711.0,607162.0,6500379.0,10,0.373,544.0,4,9,14,1890465.0,Mikro,Jawa,Produksi,0
NSB0154,34,2,5.5,4437393.0,1034199.0,8401085.0,12,0.55,618.0,2,4,19,3005841.0,Kecil,Jawa,Pertanian,0
NSB0155,32,2,4.3,5570053.0,628083.0,9510072.0,5,0.372,666.0,0,11,21,2133062.0,Kecil,Jawa,Jasa,0
NSB0156,21,5,2.4,2399216.0,414512.0,7249055.0,6,0.583,506.0,5,5,22,3212300.0,Kecil,Sumatera,Jasa,0
NSB0157,26,3,2.8,1811638.0,914667.0,4722271.0,6,0.438,619.0,1,9,29,2829505.0,Mikro,Sumatera,Pertanian,1
NSB0158,20,4,1.7,3488813.0,619134.0,5755353.0,9,0.44,626.0,2,10,15,906225.0,Mikro,Indonesia Timur,Dagang,0
NSB0159,44,1,7.1,7961536.0,7867379.0,28487120.0,11,0.313,691.0,2,8,28,5469661.0,Menengah,Sulawesi,Pertanian,0
NSB0160,33,0,2.7,2720145.0,924637.0,2941535.0,8,0.424,629.0,2,5,15,837778.0,Mikro,Kalimantan,Produksi,0
NSB0161,29,2,0.5,3809278.0,457416.0,6309618.0,12,0.475,605.0,1,6,29,2369289.0,Mikro,Jawa,Dagang,0
NSB0162,50,0,4.0,4270303.0,1891331.0,7963299.0,11,0.492,605.0,1,6,29,9835940.0,Kecil,Jawa,Dagang,0
NSB0163,45,1,6.8,5633400.0,6088524.0,13516491.0,21,0.244,667.0,0,8,11,1674350.0,Menengah,Kalimantan,Produksi,0
NSB0164,31,6,3.2,1493233.0,715593.0,2629081.0,3,0.526,602.0,3,7,12,869082.0,Mikro,Jawa,Dagang,0
NSB0165,34,1,5.9,3953409.0,686799.0,3741999.0,15,0.278,562.0,2,9,25,2059713.0,Kecil,Kalimantan,Produksi,0
NSB0166,29,2,2.2,3242602.0,727892.0,4729856.0,3,0.514,502.0,3,3,20,2795817.0,Mikro,Kalimantan,Pertanian,1
NSB0167,32,2,2.7,1282877.0,881390.0,2454178.0,3,0.529,638.0,2,6,12,1390896.0,Mikro,Jawa,Produksi,1
NSB0168,45,2,5.5,4344269.0,1868801.0,12184992.0,15,0.268,704.0,2,10,16,2799433.0,Menengah,Sulawesi,Produksi,0
NSB0169,25,1,4.6,4515960.0,1066170.0,4623208.0,23,0.283,653.0,1,10,22,1364723.0,Kecil,Jawa,Jasa,0
NSB0170,42,1,5.6,4763368.0,1968235.0,11584805.0,9,0.422,642.0,2,5,13,2381836.0,Kecil,Jawa,Produksi,1
NSB0171,34,1,2.8,2423333.0,615802.0,5419014.0,3,0.525,467.0,5,1,14,2212454.0,Mikro,Indonesia Timur,Jasa,1
NSB0172,43,3,8.9,5724163.0,1199750.0,8478306.0,17,0.318,672.0,2,8,28,3610678.0,Kecil,Sumatera,Jasa,0
NSB0173,35,2,3.2,3613834.0,745669.0,4490723.0,10,0.305,613.0,3,5,0,919049.0,Mikro,Sulawesi,Produksi,0
NSB0174,25,3,1.8,2397467.0,495159.0,5348819.0,19,0.623,494.0,6,0,17,2154607.0,Kecil,Indonesia Timur,Jasa,1
NSB0175,20,1,3.7,2242870.0,793656.0,2978241.0,3,0.396,598.0,2,9,16,456003.0,Mikro,Jawa,Dagang,0
NSB0176,41,4,0.7,2562606.0,477626.0,3363997.0,3,0.653,535.0,4,6,27,1959056.0,Mikro,Kalimantan,Dagang,0
NSB0177,42,2,6.5,6310468.0,3064617.0,14211770.0,18,0.531,621.0,3,5,19,4299773.0,Menengah,Jawa,Jasa,0
NSB0178,22,1,0.5,1861829.0,1064448.0,5353380.0,11,0.443,563.0,3,6,17,1007244.0,Mikro,Jawa,Dagang,1
NSB0179,38,2,6.2,4241818.0,974353.0,5506798.0,15,0.404,713.0,0,11,27,2522228.0,Kecil,Jawa,Produksi,0
NSB0180,31,2,5.2,4746023.0,1289858.0,6605124.0,17,0.414,559.0,3,7,8,1701456.0,Kecil,Jawa,Produksi,1
NSB0181,20,0,4.3,4860180.0,1425939.0,4463628.0,3,0.274,576.0,3,6,22,1026462.0,Kecil,Sumatera,Produksi,0
NSB0182,20,2,4.4,1837142.0,1548143.0,5920812.0,5,0.122,720.0,1,12,3,1085967.0,Mikro,Sumatera,Produksi,0
NSB0183,26,1,8.1,10189492.0,3532001.0,17442789.0,15,0.353,720.0,1,11,19,2730977.0,Menengah,Sulawesi,Dagang,0
NSB0184,34,1,3.3,2629687.0,800884.0,7546338.0,14,0.438,612.0,1,6,16,991423.0,Kecil,Jawa,Dagang,0
NSB0185,33,3,5.2,4737846.0,720765.0,6140042.0,13,0.404,588.0,3,5,25,2773841.0,Kecil,Kalimantan,Produksi,1
NSB0186,32,0,2.9,5490606.0,1372406.0,4518298.0,10,0.48,542.0,4,2,12,1697928.0,Kecil,Jawa,Dagang,0
NSB0187,42,1,6.0,8668298.0,1305377.0,8570502.0,14,0.347,624.0,3,4,28,4221938.0,Menengah,Jawa,Produksi,0
NSB0188,42,1,7.2,5630082.0,802541.0,6164012.0,20,0.442,699.0,1,5,24,3508843.0,Menengah,Sumatera,Jasa,0
NSB0189,21,3,5.5,3547720.0,2421012.0,10952636.0,19,0.359,643.0,3,8,19,2140593.0,Kecil,Jawa,Jasa,0
NSB0190,29,4,0.6,3623796.0,674960.0,4363101.0,22,0.564,572.0,3,6,19,2443147.0,Mikro,Indonesia Timur,Produksi,0
